date,home_team,score,away_team
05-08-2022,Crystal Palace,Arsenal,0 - 2
13-08-2022,Arsenal,Leicester,4 - 2
20-08-2022,Bournemouth,Arsenal,0 - 3
27-08-2022,Arsenal,Fulham,? - ?
06-08-2022,Bournemouth,Aston Villa,2 - 0
13-08-2022,Aston Villa,Everton,2 - 1
20-08-2022,Crystal Palace,Aston Villa,3 - 1
06-08-2022,Bournemouth,Aston Villa,2 - 0
13-08-2022,Man City,Bournemouth,4 - 0
20-08-2022,Bournemouth,Arsenal,0 - 3
31-08-2022,Bournemouth,Wolves,? - ?
07-08-2022,Leicester,Brentford,2 - 2
13-08-2022,Brentford,Man United,4 - 0
20-08-2022,Fulham,Brentford,3 - 2
27-08-2022,Brentford,Everton,? - ?
07-08-2022,Man United,Brighton,1 - 2
13-08-2022,Brighton,Newcastle,0 - 0
21-08-2022,West Ham,Brighton,0 - 2
21-08-2022,West Ham,Brighton,? - ?
06-08-2022,Everton,Chelsea,0 - 1
14-08-2022,Chelsea,Tottenham,2 - 2
21-08-2022,Leeds,Chelsea,3 - 0
21-08-2022,Leeds,Chelsea,? - ?
05-08-2022,Crystal Palace,Arsenal,0 - 2
15-08-2022,Liverpool,Crystal Palace,1 - 1
20-08-2022,Crystal Palace,Aston Villa,3 - 1
06-08-2022,Everton,Chelsea,0 - 1
13-08-2022,Aston Villa,Everton,2 - 1
20-08-2022,Everton,Nott'm Forest,1 - 1
27-08-2022,Brentford,Everton,? - ?
06-08-2022,Fulham,Liverpool,2 - 2
13-08-2022,Wolves,Fulham,0 - 0
20-08-2022,Fulham,Brentford,3 - 2
27-08-2022,Arsenal,Fulham,? - ?
06-08-2022,Leeds,Wolves,2 - 1
13-08-2022,Southampton,Leeds,2 - 2
21-08-2022,Leeds,Chelsea,3 - 0
21-08-2022,Leeds,Chelsea,? - ?
07-08-2022,Leicester,Brentford,2 - 2
13-08-2022,Arsenal,Leicester,4 - 2
20-08-2022,Leicester,Southampton,1 - 2
06-08-2022,Fulham,Liverpool,2 - 2
15-08-2022,Liverpool,Crystal Palace,1 - 1
22-08-2022,Man United,Liverpool,? - ?
07-08-2022,West Ham,Man City,0 - 2
13-08-2022,Man City,Bournemouth,4 - 0
21-08-2022,Newcastle,Man City,3 - 3
21-08-2022,Newcastle,Man City,? - ?
07-08-2022,Man United,Brighton,1 - 2
13-08-2022,Brentford,Man United,4 - 0
22-08-2022,Man United,Liverpool,? - ?
06-08-2022,Newcastle,Nott'm Forest,2 - 0
13-08-2022,Brighton,Newcastle,0 - 0
21-08-2022,Newcastle,Man City,3 - 3
21-08-2022,Newcastle,Man City,? - ?
06-08-2022,Newcastle,Nott'm Forest,2 - 0
14-08-2022,Nott'm Forest,West Ham,1 - 0
20-08-2022,Everton,Nott'm Forest,1 - 1
28-08-2022,Nott'm Forest,Tottenham,? - ?
06-08-2022,Tottenham,Southampton,4 - 1
13-08-2022,Southampton,Leeds,2 - 2
20-08-2022,Leicester,Southampton,1 - 2
06-08-2022,Tottenham,Southampton,4 - 1
14-08-2022,Chelsea,Tottenham,2 - 2
20-08-2022,Tottenham,Wolves,1 - 0
28-08-2022,Nott'm Forest,Tottenham,? - ?
07-08-2022,West Ham,Man City,0 - 2
14-08-2022,Nott'm Forest,West Ham,1 - 0
21-08-2022,West Ham,Brighton,0 - 2
21-08-2022,West Ham,Brighton,? - ?
06-08-2022,Leeds,Wolves,2 - 1
13-08-2022,Wolves,Fulham,0 - 0
20-08-2022,Tottenham,Wolves,1 - 0
31-08-2022,Bournemouth,Wolves,? - ?
